date,year,INDPRO,PCEPI,PCEPI_PCA,inflation,unemp,lagged_unemp,market_exp,target_change,lag_DFEDTAR,DFEDTAR,d_meeting,scale,d_crisis,TRY_3M,TRY_2Y,TRY_10Y,FF_TAR,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,ord_policy,d_nineeleven,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11,d_month_12,d_month_1_fomc,d_month_2_fomc,d_month_3_fomc,d_month_4_fomc,d_month_5_fomc,d_month_6_fomc,d_month_7_fomc,d_month_8_fomc,d_month_9_fomc,d_month_10_fomc,d_month_11_fomc,d_month_12_fomc,target_change_last,target_change_last_fomc
01/01/1989,1989,64.0153,59.581,6.33075,0.51285,5.4,5.3,0.4025000000000034,0.3125,8.6875,9.0,0,0.0,0,8.558500000000002,9.175499999999998,9.0915,8.959677419354838,,,,,,,,,,,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02/01/1989,1989,63.7242,59.779,4.06155,0.33232,5.2,5.4,0.2903571428580821,0.75,9.0,9.75,1,1.4,0,8.836842105263159,9.371578947368421,9.168947368421055,9.267857142857142,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3125,0.3125
03/01/1989,1989,63.8691,60.002,4.56949,0.37304,5.0,5.2,0.3964333333332851,0.0,9.75,9.75,1,10.333333333333334,0,9.142272727272724,9.679545454545455,9.357727272727272,9.75,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,0.75
04/01/1989,1989,63.9124,60.402,8.299660000000001,0.66664,5.2,5.0,0.3499999999999943,0.0,9.75,9.75,0,0.0,0,8.962500000000002,9.4515,9.175500000000001,9.75,,,,,,,,,,,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/01/1989,1989,63.4884,60.622,4.45934,0.36423,5.2,5.2,0.06838095239460397,0.0625,9.75,9.8125,1,2.066666666666667,0,8.73590909090909,9.017727272727273,8.859090909090908,9.78024193548387,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
06/01/1989,1989,63.5187,60.755,2.66471,0.21939,5.3,5.2,-0.13249999999999318,-0.25,9.8125,9.5625,0,0.0,0,8.434545454545455,8.406363636363638,8.27727272727273,9.604166666666666,,,,,,,,,,,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0
07/01/1989,1989,62.9354,60.9,2.90186,0.23866,5.2,5.3,-0.3407428571428566,-0.5,9.5625,9.0625,1,1.24,0,8.147,7.819500000000001,8.0185,9.320564516129032,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.25,-0.25
08/01/1989,1989,63.5168,60.907,0.13802,0.01149,5.2,5.2,-0.01682584203611015,0.0,9.0625,9.0625,1,3.4444444444444446,0,8.17,8.144782608695653,8.112608695652176,9.0625,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5,-0.5
09/01/1989,1989,63.2954,61.043,2.71265,0.22329,5.3,5.2,-0.13249999999999318,0.0,9.0625,9.0625,0,0.0,0,8.014500000000002,8.2845,8.190500000000004,9.0625,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/01/1989,1989,63.2542,61.28100000000001,4.78031,0.38989,5.3,5.3,-0.12419642857143555,-0.3125,9.0625,8.75,1,1.1071428571428572,0,7.899523809523809,7.979047619047618,8.007619047619048,8.931451612903226,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
11/01/1989,1989,63.4616,61.415,2.65577,0.21866,5.4,5.3,0.07160714283409368,-0.25,8.75,8.5,1,1.875,0,7.9438095238095245,7.795714285714284,7.874285714285714,8.541666666666666,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3125,-0.3125
12/01/1989,1989,63.8467,61.593,3.53396,0.28983000000000003,5.4,5.4,0.32666666666665445,-0.25,8.5,8.25,1,2.5833333333333335,0,7.879500000000002,7.776999999999999,7.836,8.403225806451612,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.25,-0.25
01/01/1990,1990,63.4228,62.06,9.48761,0.7582,5.4,5.4,-0.019999999999996017,0.0,8.25,8.25,0,0.0,0,7.898095238095237,8.085238095238097,8.206666666666667,8.25,,,,,,,,,,,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.0
02/01/1990,1990,64.0446,62.333,5.40837,0.4399,5.3,5.4,-0.03081632653063523,0.0,8.25,8.25,1,1.3333333333333333,0,8.002105263157894,8.370526315789473,8.473157894736843,8.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
03/01/1990,1990,64.358,62.56800000000001,4.61909,0.37701,5.2,5.3,0.09145750000000867,0.0,8.25,8.25,1,7.75,0,8.17,8.626818181818182,8.588636363636365,8.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
04/01/1990,1990,64.2602,62.699,2.5416,0.20937,5.4,5.2,0.04000000000000625,0.0,8.25,8.25,0,0.0,0,8.0405,8.723999999999998,8.7855,8.25,,,,,,,,,,,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/01/1990,1990,64.3973,62.84,2.73224,0.22488,5.4,5.4,0.035714285748866814,0.0,8.25,8.25,1,1.9375,0,8.006818181818183,8.642272727272728,8.758181818181818,8.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
06/01/1990,1990,64.6041,63.118,5.43981,0.44239,5.2,5.4,0.0,0.0,8.25,8.25,0,0.0,0,7.986666666666668,8.35095238095238,8.480000000000002,8.25,,,,,,,,,,,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/01/1990,1990,64.5205,63.274,3.00652,0.24716,5.5,5.2,-0.042857142857144113,-0.25,8.25,8.0,1,1.1071428571428572,0,7.8747619047619075,8.157142857142858,8.471428571428573,8.096774193548388,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
08/01/1990,1990,64.7326,63.695,8.28309,0.6653600000000001,5.7,5.5,0.05499999999998264,0.0,8.0,8.0,1,3.1,0,7.694347826086955,8.061304347826086,8.752608695652174,8.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.25,-0.25
09/01/1990,1990,64.8145,64.086,7.62022,0.6138600000000001,5.9,5.7,-0.09000000000000341,0.0,8.0,8.0,0,0.0,0,7.597894736842105,8.079473684210527,8.893157894736841,8.0,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/01/1990,1990,64.3274,64.453,7.09265,0.57267,5.9,5.9,-0.0992118226600912,-0.25,8.0,7.75,1,1.0689655172413792,0,7.4,7.877727272727273,8.719545454545454,7.975806451612903,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
11/01/1990,1990,63.5753,64.53399999999999,1.51854,0.12567,6.2,5.9,-0.05394957980480044,-0.25,7.75,7.5,1,1.7647058823529411,0,7.2905,7.598500000000001,8.392,7.608333333333333,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.25,-0.25
12/01/1990,1990,63.1594,64.595,1.1402,0.09452,6.3,6.2,0.6391208812232978,-0.5,7.5,7.0,1,2.3846153846153846,0,6.9495000000000005,7.314,8.075,7.193548387096774,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.25,-0.25
01/01/1991,1991,62.8852,64.84,4.64759,0.37929,6.4,6.3,0.010000000000005116,-0.25,7.0,6.75,0,0.0,0,6.4104761904761896,7.125238095238095,8.092857142857143,6.814516129032258,,,,,,,,,,,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.0
02/01/1991,1991,62.4462,64.873,0.61245,0.05089,6.6,6.4,0.10415584415570048,-0.5,6.75,6.25,1,1.2727272727272727,0,6.116315789473683,6.866842105263159,7.854736842105262,6.25,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25
03/01/1991,1991,62.119,64.887,0.25928,0.02158,6.8,6.6,0.6295466000000178,-0.25,6.25,6.0,1,6.2,0,6.0935,7.103,8.110000000000001,6.056451612903226,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5,-0.5
04/01/1991,1991,62.2415,65.00399999999999,2.18535,0.18031,6.7,6.8,0.060000000000002274,-0.25,6.0,5.75,0,0.0,0,5.825454545454547,6.948181818181819,8.039090909090909,5.991666666666666,,,,,,,,,,,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.0
05/01/1991,1991,62.8646,65.274,5.09977,0.4153600000000001,6.9,6.7,0.02983193278396337,0.0,5.75,5.75,1,1.8235294117647058,0,5.633636363636363,6.783636363636364,8.067727272727272,5.75,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.25,-0.25
06/01/1991,1991,63.4372,65.384,2.04109,0.16852,6.9,6.9,0.010000000000005116,0.0,5.75,5.75,0,0.0,0,5.7509999999999994,6.956,8.284000000000002,5.75,,,,,,,,,,,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/01/1991,1991,63.5128,65.487,1.90684,0.15753,6.8,6.9,0.08612244897959127,0.0,5.75,5.75,1,1.1071428571428572,0,5.750909090909092,6.917727272727273,8.272727272727272,5.75,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
08/01/1991,1991,63.5671,65.639,2.82112,0.23211,6.9,6.8,0.11363637974064925,-0.25,5.75,5.5,1,2.8181818181818183,0,5.497727272727273,6.4331818181818194,7.8999999999999995,5.540322580645161,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
